"prefix","danh từ: (ngôn ngữ học) tiền tố","'pri:fiks"
"openable","tính từ: có thể mở ra","'oupənəbl"
"barnacle","danh từ: (như) barnacle_goose","'bɑ:nəkl"
"sightworthy","tính từ: đáng xem, nên xem","'sait,wə:ði"
"civil","tính từ: (thuộc) công dân","'sivl"
"time-honoured","tính từ: được kính chuộng do lâu đời","'taim,ɔnəd"
"pupilarity","danh từ: (pháp lý) thời kỳ được giám hộ; thời kỳ vị thành niên",",pju:pi'læriti"
"walk-out","danh từ: (từ Mỹ,nghĩa Mỹ) cuộc đình công","'wɔ:k'aut"
"truckle-bed","danh từ: giường đẩy (có bánh xe, ban ngày đẩy vào dưới gầm giường khác) ((cũng) truckle)","'trʌklbed"
"josser","danh từ: (từ lóng) người ngu xuẩn","dʤɔsə"
"umpteenth","tính từ: thứ không biết bao nhiêu","'ʌmpti:nθ"
"draftsman","danh từ: người phác thảo, người phác hoạ, người vẽ đồ án, người vẽ sơ đồ thiết kế; người dự thảo (đạo luật...)","'drɑ:ftə"
"state","đại từ: trạng thái, tình trạng","steit"
"pluviometer","danh từ: cái đo mưa",",plu:vi'ɔmitə"
"aasvogel","danh từ: (động vật học) con kên kên (Nam Phi)","'ɑ:sfougəl"
"cumbersomeness","danh từ: sự ngổn ngang, sự cồng kềnh, sự làm vướng","'kʌmbəsəmnis"
"self-generating","tính từ: tự tạo, tự sinh","'self'dʤenəreitiɳ"
"pelvis","danh từ,  số nhiều pelves  /'pelvi:z/: (giải phẫu) chậu, khung chậu","'pelvis"
"easting","danh từ: (hàng hải) chặng đường đi về phía đông","'i:stiɳ"
"unconfined","tính từ: tự do; không bị hạn chế; không bị giam giữ","'ʌnkən'faind"
"glumness","danh từ: vẻ ủ rũ, vẻ buồn bã, vẻ rầu rĩ","'glʌmnis"
"phrase-book","danh từ: từ điển nhóm từ và thành ngữ","'freizbuk"
"opportunistic","tính từ: cơ hội chủ nghĩa","'ɔpətju:nist"
"overhear","ngoại động từ overhead: nghe lỏm; nghe trộm",",ouvə'hiə"
"disassimilation","danh từ: (sinh vật học) sự dị hoà","'disə'simi'leiʃn"
"offishness","danh từ: tính khinh khỉnh, tính cách biệt","'ɔfiʃəsnis"
"sugary","tính từ: có đường, ngọt","'ʃugəri"
"scuttle-butt","danh từ: thùng đựng nước ngọt (trên boong tàu) (như) scuttle-cask","'skʌtbʌt"
"open sight","danh từ: (quân sự) lỗ ngắm (ở súng)","'oupn'sait"
"coquet","tính từ: đỏm, dáng, làm đỏm, làm dáng","kou'ket"
"intrinsical","tính từ: (thuộc) bản chất, thực chất; bên trong","in'trinsik"
"go-by","danh từ,  to give someone the qong qua mặt ai, vượt qua ai: không để ý đến lời ai","'goubai"
"monistic","tính từ: (triết học) (thuộc) thuyết nhất nguyên","mɔ'nistik"
"unanimous","tính từ: nhất trí","ju:'næniməs"
"complain","nội động từ: kêu ca, kêu, phàn nàn, than phiền; oán trách","kəm'plein"
"soda jerker","danh từ: (từ Mỹ,nghĩa Mỹ),  (từ lóng) người bán hàng ở quầy nước xô-đa","'soudə'dʤə:k"
"vociferous","tính từ: om sòm","vou'sifərəs"
"carnivore","(bất qui tắc) danh từ số nhiều: (động vật học) loài ăn thịt","'kɑ:nivɔ:"
"thanksgiving","danh từ: sự tạ ơn (Chúa)","'θæɳks,giviɳ"
"confirmative","tính từ: xác nhận","kən'fə:mətiv"
"industrialize","động từ: công nghiệp hoá","in'dʌstriəlaiz"
"proof-reading","danh từ: việc đọc và sửa bản in thử","proof-reading"
"beryl","danh từ: (khoáng chất) berin","'beril"
"swift-footed","tính từ: mau chân, nhanh chân","'swift'futid"
"cognize","ngoại động từ: (triết học) nhận thức","kɔg'naiz"
"high altar","danh từ: bàn thờ chính","'hai'ɔ:ltə"
"timber-yard","danh từ: bãi gỗ","'timbəjɑ:d"
"strass","danh từ: bột làm ngọc giả","stræs"
"avowedly","phó từ: đã được công khai thừa nhận; đã được công khai thú nhận","ə'vauidli"
"rubiginous","tính từ: có màu gỉ sắt","ru:'bidʤinəs"
"multiparous","tính từ: (động vật học) mỗi lứa đẻ nhiều con","mʌl'tipərəs"
"disgracefulness","danh từ: sự ô nhục, sự nhục nhã, sự hổ thẹn","dis'greisfulnis"
"dismay","danh từ: sự mất tinh thần; sự mất hết can đảm","dis'mei"
"methanol","danh từ: (hoá học) Metanola","'meθənɔl"
"tube","danh từ: ống","tju:b"
"insuperableness","danh từ: tính không thể vượt qua được, tính không khắc phục được","in,sju:pərə'biliti"
"goodly","tính từ: đẹp, có duyên","'gudli"
"geodesis","tính từ: (thuộc) đo đạc",",dʤi:ou'detik"
"marocain","danh từ: vải lụa","'mærəkein"
"spinning-machine","danh từ: máy xe (sợi)","'spiniɳmə,ʃi:n"
"planimetrical","tính từ: (thuộc) phép đo diện tích (mặt bằng)",",plæni'metrik"
"pyrogenous","tính từ: (địa lý,địa chất) hoả sinh, do lửa","pai'rɔdʤinos"
"rock-oil","danh từ: dầu mỏ","'rɔkɔil"
"pleurodynia","danh từ: (y học) chứng đau nhói ngực",",pluərou'diniə"
"farthermost","tính từ: xa nhất","'fɑ:ðəmoust"
"mason","danh từ: thợ nề","'meisn"
"grey-headed","tính từ: tóc hoa râm, già","'grei'hedid"
"inflatable","tính từ: có thể bơm phồng, có thể thổi phồng","in'fleitəbl"
"nullify","ngoại động từ: huỷ bỏ; làm thành vô hiệu","'nʌlifai"
"wiredrawn","ngoại động từ wiredrew; wiredrawn: (kỹ thuật) kéo (kim loại) thành sợi","'wai dr :"
"simoon","danh từ: gió ximun (gió khô, nóng, kéo theo cát ở sa mạc A-rập)","si'mu:m"
"tetrastyle","tính từ: (kiến trúc) có cửa bốn cột, trước mặt có bốn cột","tetrəstail"
"spillikin","danh từ: thẻ (gỗ, xương... dùng trong một số trò chơi)","'spilikin"
"poltroon","danh từ: kẻ nhát gan, kẻ nhát như cáy","pɔl'tru:n"
"intuitional","tính từ: trực giác",",intju:'iʃənl"
"sneer","danh từ: cười khinh bỉ, cười chế nhạo","sniə"
"do-all","danh từ: người thạo mọi việc; người trông nom mọi việc","'du:ɔ:l"
"sackbut","danh từ: (từ cổ,nghĩa cổ) trombon (nhạc khí)","'sækbʌt"
"screw press","danh từ: (kỹ thuật) máy ép kiểu vít","'skru:pres"
"crocky","tính từ: (từ lóng) ốm yếu, kiệt sức","'krɔkəri"
"etymon","danh từ: (ngôn ngữ học) căn tổ từ nguyên","'etimɔn"
"pyroxene","danh từ: (khoáng chất) Piroxen","'pairɔksi:n"
"hereafter","phó từ: sau đây, sau này, trong tương lai","hiər'ɑ:ftə"
"forever","phó từ: mãi mãi, vĩnh viễn","fə'revə"
"ungula","danh từ,  số nhiều ungulea: (động vật học) móng; vuốt","'ʌɳgjulə"
"monological","tính từ: (sân khấu) (thuộc) kịch một vai; (thuộc) độc bạch",",mɔnə'lɔdʤik"
"nervous","tính từ: (thuộc) thần kinh","'nə:vəs"
"dehydration","danh từ: (hoá học) sự loại nước",",di:hai'dreiʃn"
"polyclinic","danh từ: phòng khám nhiều khoa",",pɔli'klinik"
"waul","nội động từ: kêu meo meo (mèo)","wɔ:l"
"king's peg","danh từ: cốc rượu sâm banh pha cônhắc","'kiɳzpeg"
"spiciness","danh từ: sự có gia vị, tính chất thơm","'spaisinis"
"solferino","danh từ: màu đỏ tía",",sɔlfə'ri:nou"
"straightforwardness","danh từ: tính thành thật, tính thẳng thắn; tính cởi mở","'streit'fɔ:wədnis"
"tantalization","danh từ: sự nhử, sự nhử trêu ngươi",",tæntəlai'zeiʃn"
"joyful","tính từ: vui mừng, hân hoan, vui sướng","'dʤɔiful"
"stipulator","danh từ: người quy định","'stipjuleitɔ"
"seven","tính từ: bảy","'sevn"
"gerundial","tính từ: (ngôn ngữ học) (thuộc) động danh từ; như động danh từ; dùng như động danh từ","dʤi'rʌndiəl"
"undiscountable","tính từ: không thể hạ bớt, không thể chiết khấu được","'ʌndis'kauntəbl"
"wittiness","danh từ: tính chất dí dỏm, tính chất tế nhị (của lời nói, nhận xét...)","'witinis"
"oophoritis","danh từ: (y học) viêm buồng trứng",",ouəfə'raitis"
"indian file","danh từ: (quân sự) hàng một","'indjən'fail"
"philanthropist","danh từ: người yêu người, kẻ thương người; người nhân đức","fi'lænθrəpist"
"prater","danh từ: người hay nói huyên thiên; người hay nói ba láp, người hay nói tầm phào","'preitə"
"unnoted","tính từ: không ai chú ý, không ai để ý đến","'ʌn'noutid"
"lymph","danh từ: (sinh vật học) bạch huyết","limf"
"grower","danh từ: người trồng","'grouə"
"goddaughter","danh từ: con gái đỡ đầu","'gɔd,dɔ:tə"
"grazer","nội động từ: ăn cỏ, gặm cỏ","'greizə"
"musicology","danh từ: âm nhạc học","'mju:zi'kɔlədʤi"
"ingloriousness","danh từ: tính chất nhục nhã","in'glɔ:riəs"
"forewent","động từ forewent; foregone: đi trước","fɔ:'gou"
"slype","danh từ: đường cầu, hành lang (trong nhà thờ)","slaip"
"solvent","tính từ: có khả năng hoà tan","'sɔlvənt"
"pansy","danh từ: (thực vật học) cây hoa bướm, cây hoa păng-xê; hoa bướm, hoa păng-xê","'pænzi"
"proliferate","động từ: (sinh vật học) nảy nở","proliferate"
"convolve","động từ,  (thường) động tính từ quá khứ: quấn lại","kən'vɔlv"
"honourable","tính từ ((từ Mỹ,nghĩa Mỹ) (cũng) honorable): đáng tôn kính, đáng kính trọng","'ɔnərəbl"
"avertable","tính từ: có thể ngăn ngừa, có thể ngăn chận, có thể tránh, có thể đẩy lui","ə'və:təbl"
"moth-proof","tính từ: chống nhậy","'mɔθpru:f"
"blotting-paper","danh từ: giấy thấm","'blɔtiɳ,peipə"
"acock","phó từ: đội lệch (mũ)","ə'kɔk"
"pigmy","danh từ: người lùn tịt","'pigmi"
"wedge","danh từ: cái nêm","wed"
"unnourishing","tính từ: không bổ","'ʌn'nʌriʃiɳ"
"fly-over bridge","danh từ: cầu chui (bắc qua đường nhiều xe cộ) ((cũng) fly-over)","fly-over bridge"
"mufti","danh từ: giáo sĩ Hồi giáo","'mʌfti"
"gas defence","danh từ: sự phòng chống hơi độc","'gæsdi'fens"
"eleventh","tính từ: thứ mười một","i'levnθ"
"incapaciousness","danh từ: sự chật hẹp, sự không đủ sức chứa",",inkə'peiʃəsnis"
"melody","danh từ: giai điệu","'melədi"
"flare-path","danh từ: (hàng không) đường băng có đèn sáng (để máy bay cất cánh, hạ cánh)","'fleəpɑ:θ"
"kirtle","danh từ (từ cổ,nghĩa cổ): áo dài","'kə:tl"
"fire-light","danh từ: ánh sáng lò sưởi","'faiəlait"
"fortitude","danh từ: sự chịu đựng ngoan cường; sự dũng cảm chịu đựng","'fɔ:titju:d"
"torus","danh từ,  số nhiều tori: (kiến trúc) đường gờ tròn quanh chân cột ((cũng) tore)","'tɔ:rəs"
"reversal","danh từ: sự đảo ngược (hình ảnh, câu...)","ri'və:səl"
"autocatalysis","danh từ: sự tự xúc tác",",ɔ:toukə'tælisis"
"water","danh từ: nước","'wɔ:tə"
"peeper","danh từ: người nhìn hé (qua khe cửa...)","'pi:pə"
"cabriolet","danh từ: xe độc mã",",kæbriou'lei"
"isn't","(viết tắt) của is not: ","'iznt"
"jurassic","tính từ: (địa lý,ddịa chất) (thuộc) kỷ jura","dʤu'ræsik"
"ironicalness","danh từ: sự mỉa, sự mỉa mai, sự châm biếm","ai'rɔnikəlnis"
"depolarization","danh từ: (vật lý) sự khử cực","'di:,poulərai'zeiʃn"
"escalade","danh từ: sự leo bằng thang",",eskə'leid"
"swarthy","tính từ: ngăm đen (da)","'swɔ:ði"
"unthoughtfulness","danh từ: sự không nghĩ ngợi, sự vô tư lự, sự vô tâm","' n'  :tfulnis"
"unshuttered","tính từ: không đóng cửa chớp; không đóng (cửa chớp)","' n'  t d"
"franciscan","tính từ: thuộc dòng thánh Fran-xít","fræn'siskən"
"flagellant","tính từ: tự đánh đòn","'flædʤilənt"
"capercailze","danh từ: (động vật học) gà rừng",",kæpə'keilji"
"approximate","tính từ: approximate to giống với, giống hệt với","ə'prɔksimit"
"turpeth","danh từ: rễ cây chìa vôi (trước đây dùng làm thuốc xổ)","'tə:peθ"
"cow-catcher","danh từ: (từ Mỹ,nghĩa Mỹ) cái gạt vật chướng ngại (ở đầu mũi xe lửa)","'kau,kætʃɔ"
"japan","danh từ: sơn mài Nhật; đồ sơn mài Nhật","dʤə'pæn"
"pyrometrical","tính từ: (thuộc) phép đo nhiệt cao",",pairou'metrik"
"negotiatress","danh từ: người điều đình, người đàm phán (đàn bà)","ni'gouʃieitris"
"consequential","tính từ: do hậu quả, do kết quả; là kết quả lôgíc của",",kɔnsi'kwenʃl"
"womb","danh từ: (giải phẫu) dạ con, tử cung","wu:m"
"phosphine","danh từ: (hoá học) photphin","'fɔsfi:n"
"good-looker","danh từ: (từ Mỹ,nghĩa Mỹ),  (từ lóng) người đẹp","'gud'lukə"
"kettle","danh từ: ấm đun nước","'ketl"
"embog","ngoại động từ: làm sa lầy ((nghĩa đen) & (nghĩa bóng))","im'bɔg"
